FID,state,division_id,division_name,polling_place_id,polling_place_type_id,polling_place_name,premises_name,premises_address_1,premises_address_2,premises_address_3,premises_suburb,premises_state_abbreviation,premises_post_code,geom
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-30e1,NSW,103,Banks,58,1,Oatley,Oatley Public School,51 Letitia St,,,OATLEY,NSW,2223.0,POINT (151.081 -33.9847)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-308c,NSW,111,Chifley,392,1,Dharruk,Dawson Public School,7 Stuart Rd,,,DHARRUK,NSW,2770.0,POINT (150.817 -33.7475)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3069,NSW,103,Banks,31,1,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,,,ALLAWAH,NSW,2218.0,POINT (151.1148974 -33.9767897)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3068,NSW,103,Banks,67,1,Allawah South,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221.0,POINT (151.111 -33.9756)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3067,NSW,103,Banks,56500,1,Beverly Hills North (Banks),Beverly Hills North Public School,1-3 Shorter Ave,,,BEVERLY HILLS,NSW,2209.0,POINT (151.075 -33.9413)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3066,NSW,103,Banks,79612,1,Beverly Hills South (Banks),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209.0,POINT (151.085 -33.9528)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3065,NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221.0,POINT (151.113 -33.9814)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3064,NSW,103,Banks,65425,5,BLV Banks PPVC,BLV Banks,"Level 1, 145 Forest Rd",,,HURSTVILLE,NSW,2220.0,POINT (151.1065776 -33.9674459)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3063,NSW,103,Banks,56472,1,Carlton South (Banks),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218.0,POINT (151.128 -33.9727)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3062,NSW,103,Banks,65,1,Carlton West,St Cuthbert's Church Hall,34 Park Rd,,,CARLTON,NSW,2218.0,POINT (151.1206652 -33.9763447)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3061,NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221.0,POINT (151.1 -33.9855)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3060,NSW,103,Banks,30094,5,Divisional Office (PREPOLL),Divisional Office,Level 1,145 Forest Road,,HURSTVILLE,NSW,2220.0,POINT (151.1064478 -33.9676291)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305f,NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,,,EAST HILLS,NSW,2213.0,POINT (150.982054 -33.9611817)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305e,NSW,103,Banks,79613,1,Hurstville (Banks),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.102 -33.9642)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305d,NSW,103,Banks,34046,5,Hurstville BANKS PPVC,"Level 1, 8 Woodville St",,,,HURSTVILLE,NSW,2220.0,POINT (151.1068363 -33.9663791)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305c,NSW,103,Banks,79614,1,Hurstville East (Banks),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.111 -33.9641)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305b,NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222.0,POINT (151.0909386 -33.9729154)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305a,NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,38-48 Maher St,,,HURSTVILLE,NSW,2220.0,POINT (151.099 -33.9726)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3059,NSW,103,Banks,4,1,Lugarno,Lugarno Public School,38 Old Forest Rd,,,LUGARNO,NSW,2210.0,POINT (151.0454806 -33.985015)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3058,NSW,103,Banks,55,1,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,,,MORTDALE,NSW,2223.0,POINT (151.0781603 -33.9748397)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3057,NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223.0,POINT (151.081 -33.9727)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3056,NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223.0,POINT (151.0731878 -33.9615619)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3055,NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,,,NARWEE,NSW,2209.0,POINT (151.069 -33.9482)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3054,NSW,103,Banks,83630,1,Oatley East,Oatley Anglican Church Hall,57 Rosa St,,,OATLEY,NSW,2223.0,POINT (151.082371 -33.9841934)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3053,NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,,,OATLEY,NSW,2223.0,POINT (151.065 -33.9796)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3052,NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,,,PADSTOW,NSW,2211.0,POINT (151.031 -33.9542)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3051,NSW,103,Banks,83624,1,Padstow Central,Padstow Congregational Church Hall,59 Faraday Rd,,,PADSTOW,NSW,2211.0,POINT (151.031707 -33.95572)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3050,NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,,,PADSTOW,NSW,2211.0,POINT (151.03 -33.949)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304f,NSW,103,Banks,58722,5,Padstow PPVC,Padstow TAFE,Block C Dining Room,Raine Rd,,PADSTOW,NSW,2211.0,POINT (151.0259414 -33.9480237)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304e,NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,94 Chamberlain Rd,,,PADSTOW HEIGHTS,NSW,2211.0,POINT (151.0305364 -33.9664348)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304d,NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,,,PANANIA,NSW,2213.0,POINT (150.999 -33.9551)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304c,NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,,,PANANIA,NSW,2213.0,POINT (150.998 -33.9519)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304b,NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,,,PANANIA,NSW,2213.0,POINT (150.999 -33.9451)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304a,NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,,,PANANIA,NSW,2213.0,POINT (151 -33.9661)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3049,NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,,,PEAKHURST,NSW,2210.0,POINT (151.061 -33.9553)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3048,NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,,,PEAKHURST HEIGHTS,NSW,2210.0,POINT (151.0555257 -33.9728147)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3047,NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,,,PEAKHURST,NSW,2210.0,POINT (151.0489593 -33.9616492)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3046,NSW,103,Banks,19,1,Penshurst,Wesley Penshurst Uniting Church Hall,96 Penshurst St,,,PENSHURST,NSW,2222.0,POINT (151.086054 -33.962239)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3045,NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,,,PENSHURST,NSW,2222.0,POINT (151.087 -33.9641)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3044,NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,,,PICNIC POINT,NSW,2213.0,POINT (151.01 -33.9649)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3043,NSW,103,Banks,83635,1,Picnic Point South,1st Picnic Point Scout Hall,23 Carinya Rd,,,PICNIC POINT,NSW,2213.0,POINT (150.9967331 -33.9804039)
