sa2_code,sa2_name,area_m2,total_cars
101021007,Braidwood,3418.3525,4434.0
101021008,Karabar,6.9825,8037.0
101021009,Queanbeyan,4.762,10551.0
101021010,Queanbeyan - East,13.0032,4646.0
101021012,Queanbeyan West - Jerrabomberra,13.6748,10555.0
101021610,Googong,6.9164,1637.0
101021611,Queanbeyan Surrounds,3047.7057,15295.0
101031013,Bombala,3990.144,2559.0
101031014,Cooma,103.6371,6823.0
101031015,Cooma Surrounds,6251.0158,3388.0
101031016,Jindabyne - Berridale,3939.7888,7068.0
101041017,Batemans Bay,63.7073,7299.0
101041018,Batemans Bay - South,30.5948,7842.0
101041019,Bega - Tathra,183.8984,8495.0
101041020,Bega-Eden Hinterland,4709.8265,8892.0
101041021,Broulee - Tomakin,24.2329,3366.0
101041022,Deua - Wadbilliga,2781.9988,27.0
101041023,Eden,94.8138,2925.0
101041024,Eurobodalla Hinterland,1460.0118,3353.0
101041025,Merimbula - Tura Beach,97.3395,9811.0
101041026,Moruya - Tuross Head,165.4118,8117.0
101041027,Narooma - Bermagui,252.652,8447.0
101051539,Goulburn,64.7865,22482.0
101051540,Goulburn Surrounds,9035.1222,13791.0
101061541,Yass,99.7341,6466.0
101061542,Yass Surrounds,5680.5696,11956.0
101061543,Young,505.753,10732.0
101061544,Young Surrounds,5849.8086,8171.0
102011028,Avoca Beach - Copacabana,6.4376,5828.0
102011029,Box Head - MacMasters Beach,32.0802,8247.0
102011030,Calga - Kulnura,767.9512,4194.0
102011031,Erina - Green Point,33.7934,11653.0
102011032,Gosford - Springfield,16.9123,16415.0
102011033,Kariong,8.3063,5548.0
102011034,Kincumber - Picketts Valley,11.7169,5802.0
102011035,Narara,7.7021,5786.0
102011036,Niagara Park - Lisarow,16.7316,6996.0
102011037,Point Clare - Koolewong,6.7794,5283.0
102011038,Saratoga - Davistown,4.7683,5557.0
102011039,Terrigal - North Avoca,10.4791,11304.0
102011040,Umina - Booker Bay - Patonga,25.2285,17677.0
102011041,Wamberal - Forresters Beach,13.7221,8280.0
102011042,Woy Woy - Blackwall,17.3963,9623.0
102011043,Wyoming,8.381,9953.0
102021044,Bateau Bay - Killarney Vale,10.8595,17345.0
102021045,Blue Haven - San Remo,20.9795,8422.0
102021046,Budgewoi - Buff Point - Halekulani,9.3297,7172.0
102021047,Chittaway Bay - Tumbi Umbi,24.4986,12114.0
102021048,Gorokan - Kanwal - Charmhaven,11.249,17707.0
102021049,Jilliby - Yarramalong,346.7662,2993.0
102021050,Lake Munmorah - Mannering Park,35.4946,9493.0
102021051,Ourimbah - Fountaindale,114.1172,4535.0
