sa2_code,sa2_name,earners,median_age,median_income,mean_income
101021007,Braidwood,2467.0,51.0,46640.0,68904.0
101021008,Karabar,5103.0,42.0,65564.0,69672.0
101021009,Queanbeyan,7028.0,39.0,63528.0,69174.0
101021010,Queanbeyan - East,3398.0,39.0,66148.0,74162.0
101021012,Queanbeyan West - Jerrabomberra,8422.0,44.0,78630.0,91981.0
101021610,Googong,3555.0,37.0,86579.0,93292.0
101021611,Queanbeyan Surrounds,10647.0,47.0,72491.0,86714.0
101031013,Bombala,1399.0,48.0,49960.0,57429.0
101031014,Cooma,3752.0,46.0,51800.0,60542.0
101031015,Cooma Surrounds,2045.0,49.0,52056.0,60052.0
101031016,Jindabyne - Berridale,4652.0,44.0,50482.0,61725.0
101041017,Batemans Bay,4314.0,49.0,41514.0,47380.0
101041018,Batemans Bay - South,4773.0,51.0,42637.0,53636.0
101041019,Bega - Tathra,5086.0,48.0,48189.0,55527.0
101041020,Bega-Eden Hinterland,5499.0,51.0,40238.0,46923.0
101041021,Broulee - Tomakin,2200.0,51.0,47421.0,60129.0
101041022,Deua - Wadbilliga,15.0,53.0,54637.0,58773.0
101041023,Eden,1792.0,50.0,41531.0,49729.0
101041024,Eurobodalla Hinterland,2029.0,52.0,43203.0,51049.0
101041025,Merimbula - Tura Beach,6694.0,52.0,45061.0,54637.0
101041026,Moruya - Tuross Head,4671.0,52.0,42938.0,49974.0
101041027,Narooma - Bermagui,5075.0,55.0,36789.0,46950.0
101051539,Goulburn,12843.0,42.0,55276.0,62254.0
101051540,Goulburn Surrounds,7650.0,49.0,49386.0,60075.0
101061541,Yass,3937.0,45.0,59650.0,65924.0
101061542,Yass Surrounds,8036.0,48.0,66500.0,81205.0
101061543,Young,5728.0,43.0,48486.0,55518.0
101061544,Young Surrounds,3969.0,49.0,47082.0,53871.0
102011028,Avoca Beach - Copacabana,4749.0,47.0,55065.0,77615.0
102011029,Box Head - MacMasters Beach,6636.0,49.0,51927.0,71509.0
102011030,Calga - Kulnura,2965.0,49.0,49168.0,63802.0
102011031,Erina - Green Point,8010.0,48.0,51905.0,71992.0
102011032,Gosford - Springfield,12051.0,41.0,54372.0,65283.0
102011033,Kariong,3853.0,42.0,58241.0,65400.0
102011034,Kincumber - Picketts Valley,4003.0,46.0,51130.0,62363.0
102011035,Narara,4182.0,43.0,55382.0,63443.0
102011036,Niagara Park - Lisarow,4877.0,44.0,54614.0,64711.0
102011037,Point Clare - Koolewong,3620.0,47.0,54865.0,66327.0
102011038,Saratoga - Davistown,4214.0,47.0,53776.0,66535.0
102011039,Terrigal - North Avoca,9151.0,46.0,57389.0,82336.0
102011040,Umina - Booker Bay - Patonga,12819.0,46.0,49626.0,63262.0
102011041,Wamberal - Forresters Beach,6469.0,46.0,56183.0,78525.0
102011042,Woy Woy - Blackwall,7309.0,45.0,50544.0,60264.0
102011043,Wyoming,5892.0,42.0,52860.0,58658.0
102021044,Bateau Bay - Killarney Vale,11815.0,42.0,51828.0,60638.0
102021045,Blue Haven - San Remo,5721.0,38.0,50990.0,54661.0
102021046,Budgewoi - Buff Point - Halekulani,4713.0,44.0,50321.0,57528.0
102021047,Chittaway Bay - Tumbi Umbi,9122.0,43.0,53569.0,61875.0
102021048,Gorokan - Kanwal - Charmhaven,10544.0,42.0,48629.0,53532.0
102021049,Jilliby - Yarramalong,2184.0,47.0,54519.0,71160.0
102021050,Lake Munmorah - Mannering Park,4992.0,45.0,49683.0,56216.0
102021051,Ourimbah - Fountaindale,3030.0,45.0,56422.0,69431.0
102021052,Summerland Point - Gwandalan,3368.0,45.0,51708.0,58378.0
102021053,The Entrance,10119.0,46.0,52690.0,60794.0
102021054,Toukley - Norah Head,4794.0,44.0,48980.0,58350.0
102021055,Tuggerah - Kangy Angy,3102.0,42.0,52805.0,61663.0
102021056,Warnervale - Wadalba,10499.0,40.0,56644.0,64934.0
102021057,Wyong,4368.0,42.0,48653.0,54902.0
103011059,Bathurst - East,6739.0,42.0,58021.0,65994.0
103011060,Bathurst Surrounds,4195.0,49.0,52135.0,60527.0
103011061,Oberon,2602.0,48.0,51100.0,55982.0
103011612,Bathurst - South,5185.0,40.0,51703.0,61134.0
103011613,Bathurst - West,8149.0,42.0,59011.0,67564.0
103021062,Condobolin,3458.0,45.0,45614.0,50599.0
103021063,Cowra,4833.0,46.0,45543.0,51295.0
103021064,Cowra Surrounds,2860.0,48.0,44174.0,50150.0
103021065,Forbes,5465.0,45.0,49843.0,57679.0
103021066,Grenfell,1813.0,50.0,42387.0,47797.0
103021067,Parkes (NSW),5849.0,43.0,52706.0,61284.0
