ID,type,descr,city,suburb,year,geo
1,Assault,Non-domestic violence related assault,Sydney,REDFERN,2012,POINT (151.21479 -33.89239)
2,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2012,POINT (151.20984 -33.8677)
3,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.2191 -33.872671)
5,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.22019 -33.87026)
6,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.215001 -33.88007)
9,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.206701 -33.882432)
11,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22451 -33.87519)
12,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.213056 -33.863096)
13,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.212542 -33.87454)
14,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.207925 -33.856479)
15,Assault,Non-domestic violence related assault,Sydney,ANNANDALE,2013,POINT (151.17502 -33.87567)
16,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22088 -33.87502)
17,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20743 -33.87809)
18,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.20444 -33.88283)
19,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.21036 -33.863495)
20,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
21,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.207695 -33.896275)
22,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
23,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
24,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.202749 -33.877137)
25,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.204617 -33.869908)
26,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.208285 -33.860557)
27,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223357 -33.874595)
28,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223357 -33.874595)
31,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.20825 -33.88677)
32,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.2065 -33.87281)
33,Assault,Non-domestic violence related assault,Sydney,GLEBE,2013,POINT (151.18865 -33.880535)
35,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.2043 -33.88277)
37,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.20348 -33.87935)
38,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.21135 -33.87354)
39,Assault,Non-domestic violence related assault,Sydney,WATERLOO,2013,POINT (151.20427 -33.899345)
40,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222425 -33.87488)
41,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.206208 -33.881587)
42,Assault,Non-domestic violence related assault,Sydney,ULTIMO,2013,POINT (151.201019 -33.884151)
43,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.191525 -33.870715)
44,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20701 -33.87296)
45,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.200521 -33.873551)
46,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222425 -33.87488)
47,Assault,Non-domestic violence related assault,Sydney,ELIZABETH BAY,2013,POINT (151.225929 -33.873021)
48,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20617 -33.87639)
51,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22718 -33.876815)
52,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.203559 -33.874063)
53,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20812 -33.873115)
54,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.210258 -33.869253)
55,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.215122 -33.875876)
56,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.20915 -33.89038)
57,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.206628 -33.875362)
58,Assault,Non-domestic violence related assault,Sydney,ULTIMO,2013,POINT (151.19678 -33.87861)
59,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.215845 -33.895355)
60,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.22108 -33.87176)
61,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.22108 -33.87176)
62,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20999 -33.86968)
63,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20391 -33.87712)
64,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22249 -33.87483)
66,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21601 -33.87985)
67,Assault,Non-domestic violence related assault,Sydney,DARLINGTON,2013,POINT (151.19724 -33.88875)
68,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.205042 -33.880052)
70,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20701 -33.87296)
